[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:36:48 DataFether:171] 002438,20170921,38 history data download ok.
[I 171127 16:36:48 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600490&start=20170921&end=20171127&stat=1&order=D&period=d,size=3925, try=0
[I 171127 16:36:48 DataFether:171] 600490,20170921,42 history data download ok.
[I 171127 16:36:50 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600198&start=20170921&end=20171127&stat=1&order=D&period=d,size=3956, try=0
[I 171127 16:36:50 DataFether:171] 600198,20170921,42 history data download ok.
[I 171127 16:36:51 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_601021&start=20170921&end=20171127&stat=1&order=D&period=d,size=3893, try=0
[I 171127 16:36:51 DataFether:171] 601021,20170921,42 history data download ok.
[I 171127 16:36:52 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000936&start=20170921&end=20171127&stat=1&order=D&period=d,size=3734, try=0
[I 171127 16:36:52 DataFether:171] 000936,20170921,42 history data download ok.
[I 171127 16:36:53 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002730&start=20170921&end=20171127&stat=1&order=D&period=d,size=3878, try=0
[I 171127 16:36:53 DataFether:171] 002730,20170921,42 history data download ok.
[I 171127 16:36:53 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000851&start=20170921&end=20171127&stat=1&order=D&period=d,size=3881, try=0
[I 171127 16:36:53 DataFether:171] 000851,20170921,42 history data download ok.
[I 171127 16:36:54 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002038&start=20170921&end=20171127&stat=1&order=D&period=d,size=3921, try=0
[I 171127 16:36:54 DataFether:171] 002038,20170921,42 history data download ok.
[I 171127 16:36:55 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002497&start=20170921&end=20171127&stat=1&order=D&period=d,size=3978, try=0
[I 171127 16:36:55 DataFether:171] 002497,20170921,42 history data download ok.
[I 171127 16:36:55 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002016&start=20170921&end=20171127&stat=1&order=D&period=d,size=3748, try=0
[I 171127 16:36:55 DataFether:171] 002016,20170921,42 history data download ok.
[I 171127 16:36:56 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600773&start=20170921&end=20171127&stat=1&order=D&period=d,size=3963, try=0
[I 171127 16:36:56 DataFether:171] 600773,20170921,42 history data download ok.
[I 171127 16:36:57 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300630&start=20170921&end=20171127&stat=1&order=D&period=d,size=3833, try=0
[I 171127 16:36:57 DataFether:171] 300630,20170921,42 history data download ok.
